"p_death","p_head","p_death_head","p_arm","p_death_arm","p_trunk","p_death_trunk","p_leg","p_death_leg"
0.16735114034157,0.0998389694041868,0.0255997357446633,0.301663982823403,0.0471349973161567,0.141170155662909,0.0325777282299021,0.459473966720344,0.0620386790508481
0.149836105679835,0.0815888352120236,0.0355643640667795,0.308105206655931,0.0288848631239936,0.134728931830381,0.0331640447582477,0.458400429414922,0.0522228337308139
0.183965674703039,0.0874932903918411,0.0403815186423882,0.34621578099839,0.0486865942028985,0.140633387010199,0.0237994962632644,0.468062265163714,0.0710980655944883
0.161636244386447,0.0815888352120236,0.0292882998197008,0.308641975308642,0.0458140432098765,0.129361245303274,0.0258722490606549,0.463768115942029,0.0606616522962148
0.175942744862152,0.082662372517445,0.0445105082786242,0.31508319914117,0.056616512345679,0.144927536231884,0.0312151616499443,0.449275362318841,0.0436005625879044
0.16108162182793,0.082662372517445,0.0296736721857495,0.305958132045089,0.0454156602254428,0.130971551261406,0.0282092571947644,0.441760601180891,0.0577830322219731
0.167574848390295,0.0939345142243693,0.0505801230438912,0.323671497584541,0.0404589371980676,0.130971551261406,0.0302242041372476,0.457326892109501,0.0463115840110887
0.164715520889465,0.084272678475577,0.0367342444637131,0.296296296296296,0.0578703703703704,0.13365539452496,0.0164498947107643,0.438539989264627,0.0536610113446168
0.162994930783238,0.0874932903918411,0.0336512655353235,0.287171229200215,0.0381399288781535,0.142780461621041,0.0307527148106858,0.462157809983897,0.0604510215590751
0.145067920790648,0.0864197530864197,0.0177271288382399,0.312399355877617,0.0439311594202899,0.133118625872249,0.032767661753169,0.461621041331186,0.0506419707789487
0.141737235966792,0.0912506709608159,0.0350964119080061,0.308641975308642,0.031346450617284,0.135265700483092,0.0270531400966184,0.457326892109501,0.0482412333448841
0.174130097995558,0.0848094471282877,0.0326190181262645,0.306494900697799,0.043100845410628,0.13365539452496,0.0349560262603741,0.455716586151369,0.0634542081982919
0.159776677900742,0.0778314546430488,0.0319308531868918,0.333333333333333,0.0338541666666667,0.130434782608696,0.0301003344481605,0.432635534084809,0.0638913235990225
0.158199485252625,0.09447128287708,0.0363351087988769,0.326355340848094,0.0356951154052603,0.145464304884595,0.029092860976919,0.466451959205582,0.0570764000715692
0.158034564673828,0.0858829844337091,0.028627661477903,0.312399355877617,0.041490539452496,0.118625872249061,0.0200751476113795,0.472893183038111,0.0678412161320496
